  0%|          | 0/5000 [00:00<?, ?it/s][WARNING|logging.py:328] 2025-08-29 08:01:35,710 >> `use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
                                                   
{'loss': 0.3115, 'grad_norm': 1.8098933696746826, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 0.2775, 'grad_norm': 0.9763676524162292, 'learning_rate': 1.06e-06, 'epoch': 0.01}
{'loss': 0.2902, 'grad_norm': 0.9322440028190613, 'learning_rate': 1.08e-06, 'epoch': 0.01}
{'loss': 0.2872, 'grad_norm': 0.85838782787323, 'learning_rate': 1.1e-06, 'epoch': 0.01}
{'loss': 0.2797, 'grad_norm': 1.017676591873169, 'learning_rate': 1.12e-06, 'epoch': 0.01}
{'loss': 0.2833, 'grad_norm': 0.9091910719871521, 'learning_rate': 1.14e-06, 'epoch': 0.01}
{'loss': 0.2785, 'grad_norm': 0.9954464435577393, 'learning_rate': 1.1600000000000001e-06, 'epoch': 0.01}
{'loss': 0.272, 'grad_norm': 0.9515847563743591, 'learning_rate': 1.1800000000000001e-06, 'epoch': 0.01}
{'loss': 0.2702, 'grad_norm': 0.8586317896842957, 'learning_rate': 1.2000000000000002e-06, 'epoch': 0.01}
{'loss': 0.2655, 'grad_norm': 0.8853085041046143, 'learning_rate': 1.2200000000000002e-06, 'epoch': 0.01}
{'loss': 0.2882, 'grad_norm': 0.8573740720748901, 'learning_rate': 1.2400000000000002e-06, 'epoch': 0.01}
{'loss': 0.2788, 'grad_norm': 0.8292284607887268, 'learning_rate': 1.26e-06, 'epoch': 0.01}
{'loss': 0.2818, 'grad_norm': 0.9723075032234192, 'learning_rate': 1.28e-06, 'epoch': 0.01}
{'loss': 0.2812, 'grad_norm': 0.948330819606781, 'learning_rate': 1.3e-06, 'epoch': 0.01}
{'loss': 0.2513, 'grad_norm': 0.9680039286613464, 'learning_rate': 1.32e-06, 'epoch': 0.01}
{'loss': 0.2245, 'grad_norm': 1.3467490673065186, 'learning_rate': 1.34e-06, 'epoch': 0.01}
{'loss': 0.2736, 'grad_norm': 0.9094700217247009, 'learning_rate': 1.3600000000000001e-06, 'epoch': 0.01}
{'loss': 0.2592, 'grad_norm': 0.9592443108558655, 'learning_rate': 1.3800000000000001e-06, 'epoch': 0.01}
{'loss': 0.2689, 'grad_norm': 0.9049999117851257, 'learning_rate': 1.4000000000000001e-06, 'epoch': 0.01}
{'loss': 0.2827, 'grad_norm': 0.9187386631965637, 'learning_rate': 1.42e-06, 'epoch': 0.01}
{'loss': 0.2557, 'grad_norm': 0.9159119725227356, 'learning_rate': 1.44e-06, 'epoch': 0.01}
{'loss': 0.2034, 'grad_norm': 1.3230396509170532, 'learning_rate': 1.46e-06, 'epoch': 0.01}
{'loss': 0.2378, 'grad_norm': 1.205253005027771, 'learning_rate': 1.48e-06, 'epoch': 0.02}
{'loss': 0.27, 'grad_norm': 0.8391780257225037, 'learning_rate': 1.5e-06, 'epoch': 0.02}
{'loss': 0.2488, 'grad_norm': 1.2868894338607788, 'learning_rate': 1.52e-06, 'epoch': 0.02}
{'loss': 0.233, 'grad_norm': 1.2482643127441406, 'learning_rate': 1.54e-06, 'epoch': 0.02}
{'loss': 0.2249, 'grad_norm': 1.0345852375030518, 'learning_rate': 1.56e-06, 'epoch': 0.02}
{'loss': 0.261, 'grad_norm': 1.5192855596542358, 'learning_rate': 1.5800000000000001e-06, 'epoch': 0.02}
{'loss': 0.2677, 'grad_norm': 1.00924551486969, 'learning_rate': 1.6000000000000001e-06, 'epoch': 0.02}
{'loss': 0.2663, 'grad_norm': 0.9590205550193787, 'learning_rate': 1.6200000000000002e-06, 'epoch': 0.02}
{'loss': 0.2718, 'grad_norm': 1.0479021072387695, 'learning_rate': 1.6400000000000002e-06, 'epoch': 0.02}
{'loss': 0.2533, 'grad_norm': 0.9413992762565613, 'learning_rate': 1.6600000000000002e-06, 'epoch': 0.02}
{'loss': 0.2581, 'grad_norm': 1.0166949033737183, 'learning_rate': 1.6800000000000002e-06, 'epoch': 0.02}
{'loss': 0.2662, 'grad_norm': 0.8348705768585205, 'learning_rate': 1.7000000000000002e-06, 'epoch': 0.02}
{'loss': 0.2518, 'grad_norm': 1.1900454759597778, 'learning_rate': 1.72e-06, 'epoch': 0.02}
{'loss': 0.264, 'grad_norm': 0.9539136290550232, 'learning_rate': 1.74e-06, 'epoch': 0.02}
{'loss': 0.2672, 'grad_norm': 0.8839548230171204, 'learning_rate': 1.76e-06, 'epoch': 0.02}
{'loss': 0.2597, 'grad_norm': 1.0867514610290527, 'learning_rate': 1.7800000000000001e-06, 'epoch': 0.02}
{'loss': 0.269, 'grad_norm': 1.2656322717666626, 'learning_rate': 1.8000000000000001e-06, 'epoch': 0.02}
{'loss': 0.2576, 'grad_norm': 0.9116833806037903, 'learning_rate': 1.8200000000000002e-06, 'epoch': 0.02}
{'loss': 0.2584, 'grad_norm': 1.010445475578308, 'learning_rate': 1.8400000000000002e-06, 'epoch': 0.02}
{'loss': 0.2605, 'grad_norm': 0.93355393409729, 'learning_rate': 1.8600000000000002e-06, 'epoch': 0.02}
{'loss': 0.261, 'grad_norm': 0.807829737663269, 'learning_rate': 1.8800000000000002e-06, 'epoch': 0.02}
{'loss': 0.2614, 'grad_norm': 0.8218212127685547, 'learning_rate': 1.9000000000000002e-06, 'epoch': 0.02}
{'loss': 0.2596, 'grad_norm': 0.8195605278015137, 'learning_rate': 1.9200000000000003e-06, 'epoch': 0.02}
{'loss': 0.2631, 'grad_norm': 1.0291807651519775, 'learning_rate': 1.94e-06, 'epoch': 0.02}
{'loss': 0.2588, 'grad_norm': 0.858407199382782, 'learning_rate': 1.9600000000000003e-06, 'epoch': 0.02}
{'loss': 0.257, 'grad_norm': 0.857567310333252, 'learning_rate': 1.98e-06, 'epoch': 0.02}
{'loss': 0.2559, 'grad_norm': 0.9960335493087769, 'learning_rate': 2.0000000000000003e-06, 'epoch': 0.02}
{'loss': 0.2405, 'grad_norm': 0.948764979839325, 'learning_rate': 2.02e-06, 'epoch': 0.02}
{'loss': 0.2352, 'grad_norm': 0.9822760224342346, 'learning_rate': 2.04e-06, 'epoch': 0.02}
{'loss': 0.1874, 'grad_norm': 5.648621082305908, 'learning_rate': 2.06e-06, 'epoch': 0.02}
{'loss': 0.1331, 'grad_norm': 4.654585838317871, 'learning_rate': 2.08e-06, 'epoch': 0.02}
{'loss': 0.235, 'grad_norm': 1.3919264078140259, 'learning_rate': 2.1000000000000002e-06, 'epoch': 0.02}
{'loss': 0.242, 'grad_norm': 0.9046804308891296, 'learning_rate': 2.12e-06, 'epoch': 0.02}
{'loss': 0.2512, 'grad_norm': 0.882148265838623, 'learning_rate': 2.1400000000000003e-06, 'epoch': 0.02}
{'loss': 0.2427, 'grad_norm': 0.9765922427177429, 'learning_rate': 2.16e-06, 'epoch': 0.02}
{'loss': 0.2448, 'grad_norm': 1.5383427143096924, 'learning_rate': 2.1800000000000003e-06, 'epoch': 0.02}
{'loss': 0.2423, 'grad_norm': 1.037832498550415, 'learning_rate': 2.2e-06, 'epoch': 0.02}
{'loss': 0.2406, 'grad_norm': 1.1523393392562866, 'learning_rate': 2.2200000000000003e-06, 'epoch': 0.02}
{'loss': 0.2594, 'grad_norm': 0.8947514891624451, 'learning_rate': 2.24e-06, 'epoch': 0.02}
{'loss': 0.261, 'grad_norm': 0.9739953875541687, 'learning_rate': 2.2600000000000004e-06, 'epoch': 0.02}
{'loss': 0.2505, 'grad_norm': 1.0393728017807007, 'learning_rate': 2.28e-06, 'epoch': 0.02}
{'loss': 0.2459, 'grad_norm': 0.8659104704856873, 'learning_rate': 2.3000000000000004e-06, 'epoch': 0.02}
{'loss': 0.2587, 'grad_norm': 1.1422998905181885, 'learning_rate': 2.3200000000000002e-06, 'epoch': 0.02}
{'loss': 0.2501, 'grad_norm': 0.8287469744682312, 'learning_rate': 2.3400000000000005e-06, 'epoch': 0.02}
{'loss': 0.2435, 'grad_norm': 1.1993728876113892, 'learning_rate': 2.3600000000000003e-06, 'epoch': 0.02}
{'loss': 0.2492, 'grad_norm': 1.652971863746643, 'learning_rate': 2.38e-06, 'epoch': 0.02}
{'loss': 0.2314, 'grad_norm': 1.0123952627182007, 'learning_rate': 2.4000000000000003e-06, 'epoch': 0.02}
{'loss': 0.2457, 'grad_norm': 1.1061570644378662, 'learning_rate': 2.42e-06, 'epoch': 0.02}
{'loss': 0.2393, 'grad_norm': 0.9175750613212585, 'learning_rate': 2.4400000000000004e-06, 'epoch': 0.02}
{'loss': 0.2426, 'grad_norm': 1.506042242050171, 'learning_rate': 2.46e-06, 'epoch': 0.03}
{'loss': 0.2483, 'grad_norm': 1.0042123794555664, 'learning_rate': 2.4800000000000004e-06, 'epoch': 0.03}
{'loss': 0.2329, 'grad_norm': 1.2390612363815308, 'learning_rate': 2.5e-06, 'epoch': 0.03}
{'loss': 0.2192, 'grad_norm': 1.787585973739624, 'learning_rate': 2.52e-06, 'epoch': 0.03}
{'loss': 0.2348, 'grad_norm': inf, 'learning_rate': 2.5400000000000002e-06, 'epoch': 0.03}
{'loss': 0.2535, 'grad_norm': 1.275549054145813, 'learning_rate': 2.5400000000000002e-06, 'epoch': 0.03}
{'loss': 0.2575, 'grad_norm': 0.9542688727378845, 'learning_rate': 2.56e-06, 'epoch': 0.03}
{'loss': 0.2512, 'grad_norm': 0.9131321310997009, 'learning_rate': 2.5800000000000003e-06, 'epoch': 0.03}
{'loss': 0.2477, 'grad_norm': 1.151258111000061, 'learning_rate': 2.6e-06, 'epoch': 0.03}
{'loss': 0.2431, 'grad_norm': 0.9485646486282349, 'learning_rate': 2.6200000000000003e-06, 'epoch': 0.03}
{'loss': 0.2529, 'grad_norm': 1.0513919591903687, 'learning_rate': 2.64e-06, 'epoch': 0.03}
{'loss': 0.2478, 'grad_norm': 0.9059882760047913, 'learning_rate': 2.6600000000000004e-06, 'epoch': 0.03}
{'loss': 0.2338, 'grad_norm': 1.4583722352981567, 'learning_rate': 2.68e-06, 'epoch': 0.03}
{'loss': 0.2292, 'grad_norm': 1.4804472923278809, 'learning_rate': 2.7000000000000004e-06, 'epoch': 0.03}
{'loss': 0.2401, 'grad_norm': 1.0756207704544067, 'learning_rate': 2.7200000000000002e-06, 'epoch': 0.03}
{'loss': 0.2549, 'grad_norm': 0.8996208310127258, 'learning_rate': 2.7400000000000004e-06, 'epoch': 0.03}
{'loss': 0.2481, 'grad_norm': 2.5576748847961426, 'learning_rate': 2.7600000000000003e-06, 'epoch': 0.03}
{'loss': 0.2499, 'grad_norm': 1.839562177658081, 'learning_rate': 2.7800000000000005e-06, 'epoch': 0.03}
{'loss': 0.2431, 'grad_norm': 1.3127169609069824, 'learning_rate': 2.8000000000000003e-06, 'epoch': 0.03}
{'loss': 0.2353, 'grad_norm': 1.0888005495071411, 'learning_rate': 2.82e-06, 'epoch': 0.03}
{'loss': 0.2516, 'grad_norm': 1.6399494409561157, 'learning_rate': 2.84e-06, 'epoch': 0.03}
{'loss': 0.2383, 'grad_norm': 1.3230282068252563, 'learning_rate': 2.86e-06, 'epoch': 0.03}
{'loss': 0.2431, 'grad_norm': 1.426424264907837, 'learning_rate': 2.88e-06, 'epoch': 0.03}
{'loss': 0.2491, 'grad_norm': 0.9337435960769653, 'learning_rate': 2.9e-06, 'epoch': 0.03}
{'loss': 0.2433, 'grad_norm': 1.2328413724899292, 'learning_rate': 2.92e-06, 'epoch': 0.03}
{'loss': 0.239, 'grad_norm': 1.4004863500595093, 'learning_rate': 2.9400000000000002e-06, 'epoch': 0.03}
{'loss': 0.2376, 'grad_norm': 1.0310848951339722, 'learning_rate': 2.96e-06, 'epoch': 0.03}
{'loss': 0.2315, 'grad_norm': 0.9597215056419373, 'learning_rate': 2.9800000000000003e-06, 'epoch': 0.03}
{'loss': 0.1815, 'grad_norm': 3.540386915206909, 'learning_rate': 3e-06, 'epoch': 0.03}
{'loss': 0.2255, 'grad_norm': 1.1574809551239014, 'learning_rate': 3.0200000000000003e-06, 'epoch': 0.03}
{'loss': 0.244, 'grad_norm': 1.2636951208114624, 'learning_rate': 3.04e-06, 'epoch': 0.03}
{'loss': 0.2376, 'grad_norm': 1.2200596332550049, 'learning_rate': 3.0600000000000003e-06, 'epoch': 0.03}
{'loss': 0.2373, 'grad_norm': 1.4860488176345825, 'learning_rate': 3.08e-06, 'epoch': 0.03}
{'loss': 0.2428, 'grad_norm': 1.1171101331710815, 'learning_rate': 3.1000000000000004e-06, 'epoch': 0.03}
{'loss': 0.2474, 'grad_norm': 1.256371021270752, 'learning_rate': 3.12e-06, 'epoch': 0.03}
{'loss': 0.24, 'grad_norm': 1.2132302522659302, 'learning_rate': 3.1400000000000004e-06, 'epoch': 0.03}
{'loss': 0.2324, 'grad_norm': 1.1406723260879517, 'learning_rate': 3.1600000000000002e-06, 'epoch': 0.03}
{'loss': 0.2331, 'grad_norm': 1.1834784746170044, 'learning_rate': 3.1800000000000005e-06, 'epoch': 0.03}
{'loss': 0.2329, 'grad_norm': 1.0370405912399292, 'learning_rate': 3.2000000000000003e-06, 'epoch': 0.03}
{'loss': 0.2336, 'grad_norm': 1.1736849546432495, 'learning_rate': 3.2200000000000005e-06, 'epoch': 0.03}
{'loss': 0.2372, 'grad_norm': 0.9382147789001465, 'learning_rate': 3.2400000000000003e-06, 'epoch': 0.03}
{'loss': 0.2301, 'grad_norm': 0.9180543422698975, 'learning_rate': 3.2600000000000006e-06, 'epoch': 0.03}
{'loss': 0.2317, 'grad_norm': 0.9159495234489441, 'learning_rate': 3.2800000000000004e-06, 'epoch': 0.03}
{'loss': 0.2254, 'grad_norm': 0.8421905040740967, 'learning_rate': 3.3000000000000006e-06, 'epoch': 0.03}
{'loss': 0.2474, 'grad_norm': 1.3880177736282349, 'learning_rate': 3.3200000000000004e-06, 'epoch': 0.03}
{'loss': 0.2395, 'grad_norm': 1.0514146089553833, 'learning_rate': 3.3400000000000006e-06, 'epoch': 0.03}
{'loss': 0.2375, 'grad_norm': 0.9671446084976196, 'learning_rate': 3.3600000000000004e-06, 'epoch': 0.03}
{'loss': 0.24, 'grad_norm': 1.1820014715194702, 'learning_rate': 3.3800000000000007e-06, 'epoch': 0.03}
{'loss': 0.2355, 'grad_norm': 0.9673646092414856, 'learning_rate': 3.4000000000000005e-06, 'epoch': 0.03}
{'loss': 0.2307, 'grad_norm': 0.9953514337539673, 'learning_rate': 3.4200000000000007e-06, 'epoch': 0.03}
{'loss': 0.2396, 'grad_norm': 0.9372644424438477, 'learning_rate': 3.44e-06, 'epoch': 0.04}
{'loss': 0.2259, 'grad_norm': 0.9551356434822083, 'learning_rate': 3.46e-06, 'epoch': 0.04}
{'loss': 0.234, 'grad_norm': 1.305483102798462, 'learning_rate': 3.48e-06, 'epoch': 0.04}
{'loss': 0.2368, 'grad_norm': 0.9324073791503906, 'learning_rate': 3.5e-06, 'epoch': 0.04}
{'loss': 0.2318, 'grad_norm': 0.9661394953727722, 'learning_rate': 3.52e-06, 'epoch': 0.04}
{'loss': 0.2156, 'grad_norm': 1.6724762916564941, 'learning_rate': 3.54e-06, 'epoch': 0.04}
{'loss': 0.232, 'grad_norm': 1.044033408164978, 'learning_rate': 3.5600000000000002e-06, 'epoch': 0.04}
{'loss': 0.2344, 'grad_norm': 1.129560112953186, 'learning_rate': 3.58e-06, 'epoch': 0.04}
{'loss': 0.2298, 'grad_norm': 1.048811435699463, 'learning_rate': 3.6000000000000003e-06, 'epoch': 0.04}
{'loss': 0.237, 'grad_norm': 0.9452430605888367, 'learning_rate': 3.62e-06, 'epoch': 0.04}
{'loss': 0.222, 'grad_norm': 1.4597835540771484, 'learning_rate': 3.6400000000000003e-06, 'epoch': 0.04}
{'loss': 0.149, 'grad_norm': 1.6520110368728638, 'learning_rate': 3.66e-06, 'epoch': 0.04}
{'loss': 0.1228, 'grad_norm': 2.3812084197998047, 'learning_rate': 3.6800000000000003e-06, 'epoch': 0.04}
{'loss': 0.2182, 'grad_norm': 1.7705225944519043, 'learning_rate': 3.7e-06, 'epoch': 0.04}
{'loss': 0.2276, 'grad_norm': 1.8376753330230713, 'learning_rate': 3.7200000000000004e-06, 'epoch': 0.04}
{'loss': 0.2351, 'grad_norm': 0.9674558639526367, 'learning_rate': 3.74e-06, 'epoch': 0.04}
{'loss': 0.2248, 'grad_norm': 0.9079638719558716, 'learning_rate': 3.7600000000000004e-06, 'epoch': 0.04}
{'loss': 0.2333, 'grad_norm': 1.0622200965881348, 'learning_rate': 3.7800000000000002e-06, 'epoch': 0.04}
{'loss': 0.247, 'grad_norm': 0.9860191345214844, 'learning_rate': 3.8000000000000005e-06, 'epoch': 0.04}
{'loss': 0.2333, 'grad_norm': 1.0628119707107544, 'learning_rate': 3.820000000000001e-06, 'epoch': 0.04}
{'loss': 0.2309, 'grad_norm': 1.0175316333770752, 'learning_rate': 3.8400000000000005e-06, 'epoch': 0.04}
{'loss': 0.2354, 'grad_norm': 0.9262046217918396, 'learning_rate': 3.86e-06, 'epoch': 0.04}
{'loss': 0.2317, 'grad_norm': 1.0724161863327026, 'learning_rate': 3.88e-06, 'epoch': 0.04}
{'loss': 0.2262, 'grad_norm': 1.2588146924972534, 'learning_rate': 3.900000000000001e-06, 'epoch': 0.04}
{'loss': 0.2305, 'grad_norm': 1.215612769126892, 'learning_rate': 3.920000000000001e-06, 'epoch': 0.04}
{'loss': 0.227, 'grad_norm': 0.954154908657074, 'learning_rate': 3.94e-06, 'epoch': 0.04}
{'loss': 0.2226, 'grad_norm': 1.232444405555725, 'learning_rate': 3.96e-06, 'epoch': 0.04}
{'loss': 0.2263, 'grad_norm': 1.126220464706421, 'learning_rate': 3.980000000000001e-06, 'epoch': 0.04}
{'loss': 0.2179, 'grad_norm': 0.9079271554946899, 'learning_rate': 4.000000000000001e-06, 'epoch': 0.04}
{'loss': 0.2359, 'grad_norm': 0.9660898447036743, 'learning_rate': 4.0200000000000005e-06, 'epoch': 0.04}
{'loss': 0.2309, 'grad_norm': 1.0160757303237915, 'learning_rate': 4.04e-06, 'epoch': 0.04}
{'loss': 0.2296, 'grad_norm': 2.5790114402770996, 'learning_rate': 4.060000000000001e-06, 'epoch': 0.04}
{'loss': 0.2295, 'grad_norm': 1.390946388244629, 'learning_rate': 4.08e-06, 'epoch': 0.04}
{'loss': 0.226, 'grad_norm': 0.991784393787384, 'learning_rate': 4.1e-06, 'epoch': 0.04}
{'loss': 0.2252, 'grad_norm': 0.9159278273582458, 'learning_rate': 4.12e-06, 'epoch': 0.04}
{'loss': 0.2205, 'grad_norm': 1.4595706462860107, 'learning_rate': 4.14e-06, 'epoch': 0.04}
{'loss': 0.2273, 'grad_norm': 1.0562063455581665, 'learning_rate': 4.16e-06, 'epoch': 0.04}
{'loss': 0.2322, 'grad_norm': 1.0084260702133179, 'learning_rate': 4.18e-06, 'epoch': 0.04}
{'loss': 0.2146, 'grad_norm': 1.5429160594940186, 'learning_rate': 4.2000000000000004e-06, 'epoch': 0.04}
{'loss': 0.2277, 'grad_norm': 1.1386791467666626, 'learning_rate': 4.22e-06, 'epoch': 0.04}
{'loss': 0.2225, 'grad_norm': 1.279537320137024, 'learning_rate': 4.24e-06, 'epoch': 0.04}
{'loss': 0.2309, 'grad_norm': 0.9907240271568298, 'learning_rate': 4.26e-06, 'epoch': 0.04}
{'loss': 0.2289, 'grad_norm': 1.0150264501571655, 'learning_rate': 4.2800000000000005e-06, 'epoch': 0.04}
{'loss': 0.2114, 'grad_norm': 1.3013521432876587, 'learning_rate': 4.3e-06, 'epoch': 0.04}
{'loss': 0.2233, 'grad_norm': 1.041664481163025, 'learning_rate': 4.32e-06, 'epoch': 0.04}
{'loss': 0.2415, 'grad_norm': 1.123475432395935, 'learning_rate': 4.34e-06, 'epoch': 0.04}
{'loss': 0.2242, 'grad_norm': 1.6500293016433716, 'learning_rate': 4.360000000000001e-06, 'epoch': 0.04}
{'loss': 0.2279, 'grad_norm': 1.278402328491211, 'learning_rate': 4.38e-06, 'epoch': 0.04}
{'loss': 0.2234, 'grad_norm': 1.0822367668151855, 'learning_rate': 4.4e-06, 'epoch': 0.04}
{'loss': 0.2329, 'grad_norm': 1.0962074995040894, 'learning_rate': 4.42e-06, 'epoch': 0.04}
{'loss': 0.2307, 'grad_norm': 1.1541252136230469, 'learning_rate': 4.440000000000001e-06, 'epoch': 0.04}
{'loss': 0.2286, 'grad_norm': 1.8036569356918335, 'learning_rate': 4.4600000000000005e-06, 'epoch': 0.05}
{'loss': 0.2209, 'grad_norm': 1.0608913898468018, 'learning_rate': 4.48e-06, 'epoch': 0.05}
{'loss': 0.2204, 'grad_norm': 1.1983423233032227, 'learning_rate': 4.5e-06, 'epoch': 0.05}
{'loss': 0.2289, 'grad_norm': 1.0614910125732422, 'learning_rate': 4.520000000000001e-06, 'epoch': 0.05}
{'loss': 0.2206, 'grad_norm': 1.656473159790039, 'learning_rate': 4.540000000000001e-06, 'epoch': 0.05}
{'loss': 0.2492, 'grad_norm': 1.4661445617675781, 'learning_rate': 4.56e-06, 'epoch': 0.05}
{'loss': 0.2378, 'grad_norm': 0.9491318464279175, 'learning_rate': 4.58e-06, 'epoch': 0.05}
{'loss': 0.2274, 'grad_norm': 1.1923599243164062, 'learning_rate': 4.600000000000001e-06, 'epoch': 0.05}
